,da_number,cwa_determination,slopegradd,slopegradw,brockdepmi,wtdepannmi,wtdepaprju,flodfreqdc,flodfreqma,pondfreqpr,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswet,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdc,urbrecptwt,forpehrtdc,hydclprs,awmmfpwwta
5233,MVP-2018-02962-AIS,0,4.0,4.0,0.0,178.0,178.0,0.0,0.0,0.0,2.64,5.64,10.65,12.15,5.0,5.0,0.0,,100.0,3.0,100.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.37,1.0,0.0,1.0
5234,MVP-2018-02965-KDZ,0,4.0,3.7,0.0,69.0,69.0,0.0,0.0,10.0,4.37,8.13,14.07,19.06,4.0,4.0,2.0,,100.0,2.0,100.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.129,2.0,10.0,1.0
5235,MVP-2018-02967-KDZ,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,100.0,3.8,5.8,9.8,16.2,2.0,2.0,4.0,,100.0,4.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,100.0,1.0
5236,MVP-2018-02970-KDZ,0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,100.0,3.85,6.02,9.52,13.02,1.0,1.0,4.0,,100.0,4.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,100.0,1.0
5237,MVP-2018-02974-ANM,0,4.0,4.0,0.0,30.0,30.0,0.0,0.0,100.0,5.5,9.5,15.82,20.32,3.0,3.0,6.0,,100.0,2.0,95.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0
5238,MVP-2018-02979-AIS,0,4.0,3.8,0.0,69.0,69.0,0.0,0.0,6.0,5.15,8.56,14.5,19.06,4.0,4.0,2.0,,100.0,2.0,99.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.099,2.0,6.0,1.0
5239,MVP-2018-02995-AIS,0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,97.0,5.01,6.7,10.29,13.63,2.0,2.0,6.0,,100.0,2.0,98.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971,1.0,87.0,1.0
5240,MVP-2018-03010-AIS,0,1.0,1.0,0.0,66.0,66.0,0.0,0.0,0.0,5.65,10.9,21.4,29.57,4.0,4.0,1.0,,100.0,1.0,85.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.026,1.0,0.0,0.979
5241,MVP-2018-03013-AIS,0,1.0,1.0,0.0,18.0,18.0,0.0,0.0,4.0,5.26,9.41,18.12,27.53,3.0,3.0,6.0,,100.0,2.0,100.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0,1.0
5242,MVP-2018-03015-AIS,0,4.0,4.0,0.0,190.0,190.0,0.0,0.0,0.0,3.4,7.4,14.92,17.52,5.0,5.0,0.0,3.0,100.0,3.0,100.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.001,2.0,0.0,1.0
5243,MVP-2018-03074-MHK,0,2.0,2.0,0.0,15.0,15.0,0.0,0.0,100.0,5.2,9.2,15.17,19.67,3.0,3.0,6.0,,100.0,2.0,95.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0
5244,MVP-2018-03085-MHK,0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,8.45,14.95,20.33,5.0,5.0,1.0,,100.0,4.0,95.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.02,3.0,0.0,1.0
5245,MVP-2018-03094-JRH,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,9.5,18.0,25.54,5.0,5.0,1.0,,100.0,2.0,85.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.01,2.0,10.0,0.0
5246,MVP-2018-03139-JRS,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,100.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5247,MVP-2018-03158-EMN,0,4.0,3.9,0.0,30.0,30.0,0.0,0.0,0.0,5.44,10.4,14.93,17.78,4.0,4.0,6.0,,100.0,2.0,96.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,2.0,0.0,0.984
5248,MVP-2018-03182-AIS,0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,97.0,5.01,6.7,10.29,13.63,2.0,2.0,6.0,,100.0,2.0,98.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971,1.0,87.0,1.0
5249,MVP-2018-03210-RJH,0,1.0,1.2,0.0,15.0,15.0,0.0,0.0,7.0,4.9,7.32,10.2,12.73,3.0,3.0,3.0,,100.0,2.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.922,1.0,7.0,1.0
5250,MVP-2018-03245-AIS,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,10.9,17.88,19.38,5.0,5.0,1.0,,100.0,2.0,100.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.1,2.0,0.0,1.0
5251,MVP-2018-03256-EJI,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,7.43,8.93,10.43,6.0,6.0,1.0,,100.0,3.0,85.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.014,2.0,0.0,1.0
5252,MVP-2018-03327-WMS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,10.0,20.0,36.01,47.91,1.0,1.0,4.0,,100.0,7.0,95.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,100.0,1.0
5253,MVP-2018-03350-SJW,0,1.0,1.0,0.0,122.0,122.0,0.0,0.0,0.0,2.12,3.92,7.16,9.87,4.0,4.0,0.0,,97.0,4.0,100.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,0.921,1.0,0.0,1.0
5254,MVP-2018-03361-DJM,0,4.0,4.0,0.0,91.0,91.0,0.0,0.0,0.0,2.71,4.96,9.46,15.12,4.0,4.0,0.0,,100.0,3.0,90.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0.539,2.0,0.0,1.0
5255,MVP-2018-03442-JMB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,100.0,8.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5256,MVP-2018-03446-AIS,0,9.0,8.7,0.0,74.0,74.0,0.0,0.0,0.0,5.33,8.57,13.51,18.01,4.0,4.0,2.0,,100.0,3.0,94.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0
5257,MVP-2018-03458-MMW,0,1.0,1.0,0.0,30.0,30.0,0.0,0.0,100.0,5.68,10.69,19.89,24.46,3.0,3.0,5.0,,100.0,2.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,10.0,1.0
5258,MVP-2018-03462-AIS,0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,8.69,12.05,14.4,5.0,5.0,2.0,,100.0,6.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0
5259,MVP-2018-03476-DJM,0,1.5,1.5,0.0,30.0,30.0,0.0,0.0,98.0,2.43,4.68,7.86,10.86,3.0,3.0,4.0,,100.0,4.0,95.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
5260,MVP-2018-03480-AIS,0,3.0,3.0,0.0,178.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,,,100.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
