,da_number,district,longitude,latitude,cwa_determination,potential_wetland,county,state
338,LRC-2015-00408,1,-87.73002,41.58235,1,1,49,17.0
339,LRC-2015-00437,1,-87.67625,41.52712,1,1,49,17.0
340,LRC-2015-00454,1,-87.9647,41.4831,0,1,52,17.0
341,LRC-2015-00455,1,-88.2021,41.4908,0,1,52,17.0
342,LRC-2015-00475,1,-87.89353,42.20193,1,1,12,17.0
343,LRC-2015-00495,1,-87.87715,41.74816,0,1,49,17.0
344,LRC-2015-00496,1,-87.88347,41.75228,1,0,49,17.0
345,LRC-2015-00498,1,-87.01716,41.4709,1,0,54,18.0
346,LRC-2015-00530,1,-88.09184,41.67989,0,1,52,17.0
347,LRC-2015-00534,1,-88.1688,42.1513,1,0,49,17.0
348,LRC-2015-00539,1,-88.03297,42.2439,1,1,12,17.0
349,LRC-2015-00540,1,-88.13991,42.35044,1,1,12,17.0
350,LRC-2015-00541,1,-88.17754,42.34107,0,1,12,17.0
351,LRC-2015-00549,1,-87.69111,41.93721,1,0,49,17.0
352,LRC-2015-00552,1,-88.23207,41.87312,0,1,53,17.0
353,LRC-2015-00572,1,-88.22227,41.74576,0,1,53,17.0
354,LRC-2015-00609,1,-87.647,41.643,0,1,49,17.0
355,LRC-2015-00623,1,-87.766,41.80502,0,0,49,17.0
356,LRC-2015-00628,1,-88.14161,41.62235,0,1,52,17.0
357,LRC-2015-00646,1,-88.1001,41.95718,1,0,53,17.0
358,LRC-2015-00652,1,-87.94217,42.43035,0,0,12,17.0
359,LRC-2015-00655,1,-87.82036,41.76901,0,1,49,17.0
360,LRC-2015-00672,1,-87.44637,41.46955,1,0,12,18.0
361,LRC-2015-00692,1,-88.10847,41.90359,0,1,53,17.0
362,LRC-2015-00697,1,-87.83881,41.74531,1,1,49,17.0
363,LRC-2015-00700,1,-88.34843,42.16464,1,1,51,17.0
364,LRC-2015-00706,1,-87.75187,42.14147,1,0,49,17.0
365,LRC-2015-00717,1,-88.0474,42.05597,0,1,49,17.0
366,LRC-2015-00718,1,-87.90723,41.76267,1,0,49,17.0
367,LRC-2015-00731,1,-88.03214,42.17563,1,0,12,17.0
368,LRC-2015-00735,1,-87.8005,41.803,1,1,49,17.0
369,LRC-2015-00752,1,-88.10782,41.98654,0,1,53,17.0
370,LRC-2015-00753,1,-87.7269,42.0915,0,1,49,17.0
371,LRC-2015-00754,1,-87.8651,41.8208,0,1,49,17.0
372,LRC-2015-00760,1,-87.90957,41.5563,1,1,49,17.0
373,LRC-2015-00761,1,-88.10745,42.11693,1,1,49,17.0
374,LRC-2015-00765,1,-88.22436,41.80564,0,1,53,17.0
375,LRC-2015-00796,1,-87.94459,41.72203,0,1,53,17.0
376,LRC-2015-00802,1,-87.88999,42.17837,0,1,12,17.0
377,LRC-2015-00807,1,-88.14072,42.05727,1,1,49,17.0
378,LRC-2015-00808,1,-87.87379,42.26946,0,1,12,17.0
379,LRC-2015-00812,1,-88.1663,41.85151,0,1,53,17.0
380,LRC-2015-00813,1,-88.22062,41.80115,1,1,53,17.0
381,LRC-2015-00815,1,-87.55025,41.66368,0,1,49,17.0
382,LRC-2015-00819,1,-88.1206,41.60788,1,1,52,17.0
383,LRC-2015-00824,1,-88.25435,41.88698,1,1,53,17.0
384,LRC-2015-00838,1,-88.11985,42.47636,1,0,12,17.0
385,LRC-2015-00840,1,-87.85536,42.06209,0,1,49,17.0
386,LRC-2015-00841,1,-87.84634,41.63127,0,1,49,17.0
387,LRC-2015-00863,1,-88.42648,41.77719,1,1,50,17.0
388,LRC-2015-00864,1,-87.79136,41.50399,1,0,49,17.0
389,LRC-2015-00870,1,-88.02988,41.80724,0,1,53,17.0
390,LRC-2015-00872,1,-88.0349,41.97427,0,1,53,17.0
391,LRC-2015-00875,1,-87.74901,41.44376,0,1,52,17.0
392,LRC-2015-00883,1,-88.14134,41.84688,1,1,53,17.0
393,LRC-2015-00884,1,-87.97607,41.73509,1,1,53,17.0
394,LRC-2015-00887,1,-88.22517,41.37674,1,0,52,17.0
395,LRC-2015-00897,1,-88.22079,41.7164,0,1,52,17.0
