jurisdiction_type,da_number,district,project_name,longitude,latitude,date_issued_or_denied,rha_determination,cwa_determination,rha1,rha2,cwa1,cwa2,cwa3,cwa4,cwa5,cwa6,cwa7,cwa8,cwa9,potential_wetland
RAPANOS,MVK-2016-00668-CR,Vicksburg,"408 Review/072816/Review of Request by Ryman Busby to Install a 16-Inch Irrigation Well at Approximately 300 Feet from the Landside Toe of the Right Descending Bank of the Mississippi River Levee in Madison Parish, Louisiana",-91.01839,32.24364,8/4/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00669-CR,Vicksburg,"FEMA/072916/ REC PW 189, Coahoma County Road and Shoulder Washout Culvert Repairs, Coahoma County, Mississippi",-90.62143,34.22887,8/8/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RAPANOS,MVK-2016-00679-TB,Vicksburg,"City of Jackson/080316/Rubber Re-Surfacing of Play Area in Parks at Two Sites, Hinds County, Mississippi",-90.44285,32.26656,8/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00685-TB,Vicksburg,"City of Madison/080416/Proposed Replacement of Supply Well #1, Madison County, Mississippi",-90.11105,32.46559,8/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00686-TB,Vicksburg,"FEMA/080516/REC PW 203, Marion County, Road Repair, Reconstruction, Elevation, Retrofitting, Upgrading to Pre-Disaster Condition in Several Locations, Marion County, Mississippi",-89.89719,31.09498,8/23/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00689-TB,Vicksburg,"Monroe Housing Authority/080516/Request for Jurisdictional Determination on Robinson Place II, Located in Robinson Place Subdivision, Ouachita Parish, Louisiana",-92.09748,32.444,11/3/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00696-TB,Vicksburg,"FEMA/080816/REC PW 191, Quitman County, Proposing to Repair Road Base, Surface Aggregate, Gravel, and Damaged CMPs for Several Sites Across County, Quitman County, Mississippi",-90.27229,34.20378,8/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00697-TB,Vicksburg,"FEMA/080816/REC PW 193, Quitman County, Repair, Surface Aggregate, Gravel, and Damaged CMPs for Several Road Sites Across County, Quitman County, Mississippi",-90.27062,34.25734,9/21/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RAPANOS,MVK-2016-00700-AHG,Vicksburg,"FEMA/080816/Request for Permit Authorization, PW-00204, Road Repairs, Marion County, Mississippi",-89.7724,31.25316,8/17/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00701-TB,Vicksburg,"408 Review/Bunge North America/080916/Request to Perform Alterations to Their Facilities at the Lake Providence Port within 1500 Feet of the Right Descending Bank of the Mississippi River Levee, East Carroll Parish, Louisiana",-91.17305,32.75547,8/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00703-TB,Vicksburg,"Wesley Barnett/080916/Dirt Will be Removed From Point A to Point B to Build Up Dirt for a House Site, Ashley County, Arkansas",-91.94454,33.15574,10/27/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00705-CR,Vicksburg,"Steve Conravey/081016/ Request for Jurisdictional Determination on Approximately 5 Acres, Lot 20, Murray Road, St Tammany Parish, Louisiana",-89.77695,30.37815,12/7/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPANOS,MVK-2016-00706-CR,Vicksburg,"FEMA/081016/ REC PW 207, Jefferson Davis County Culvert Repairs, Jefferson Davis County, Mississippi",-89.85603,31.55465,8/29/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
